#,Governor ID,Governor Name,Camp,KD,Power,Power Diff,KP,T4,T5,Dead,Acclaim,Healed,PTS,Trades,Kill Points,Death Points,Heal Points
10,210198531,ᵏᵏLostCause,III,3923,60865164,16002296,87068614,7715360,488223,0,0,3546612,35743670,122.75,,,
18,210237494,K҉k҉WarMedusa,III,3923,66441517,18715719,61313943,5045428,381389,55907,0,2303629,24834207,129.93,,,
23,210321924,fetihler Has,III,3923,4075110,-199632,1031613,78958,0,1366007,0,1102646,20805937,2.09,,,
47,210387545,ᵃⁿᵍFluffy,III,3923,76094250,17235803,33152493,2522009,183369,29424,0,591572,12363086,266.93,,,
73,210002710,Thor x҉ 23,III,3923,48543884,21710511,25429238,2001917,98129,22429,0,1215033,9325393,102.75,,,
88,210305230,Đảo 93,III,3923,10884332,1418390,5437863,95536,0,522585,0,370225,8220919,30.45,,,
100,209971164,ᴬᶜmonkey d,III,3923,18743872,5718967,18922111,1808831,40679,0,0,2535357,7642114,37.32,,,
102,209749530,ккTôm Lazy,III,3923,19886790,5049674,18354809,1573523,76481,33911,0,1632592,7567567,55.07,,,
119,210359058,nen van minh,III,3923,3594870,-79164,806571,58023,0,438222,0,265928,6805422,5.73,,,
130,206373752,Dｅｗａkipas,III,3923,4509194,-1537027,464550,13451,16502,418475,0,0,6495949,,,,
146,210315446,Mesterian,III,3923,3984696,173142,904229,39786,0,387395,0,103384,5970069,9.21,,,
180,209787982,๛Pancakes๛,III,3923,32685323,4165846,12395764,1016256,111281,0,0,902667,5177834,68.66,,,
181,210319349,MrDamat,III,3923,3337638,68492,147530,14753,0,336101,0,160093,5100527,,,,
190,210317712,Hải Oanh,III,3923,4268011,309603,1315271,109816,0,303853,0,411058,4997059,9.20,,,
207,210148849,gotosleep,III,3923,23142375,-118524,748460,10250,32298,288036,0,26032,4684520,,,,
208,210356636,ᴷᴷJubilife,III,3923,10705562,3396650,8280171,502740,16372,166088,0,1196837,4666000,30.38,,,
210,210311766,JALOL UBEK,III,3923,4339255,374369,290391,27290,0,294455,0,277824,4525985,,,,
216,209775053,ккSaver54,III,3923,19880419,3162903,10555590,863379,96090,1,0,1030118,4414431,51.23,,,
217,209753214,ᵏᵏReaperXxX,III,3923,20467831,3603923,10928297,986757,45709,0,0,1616086,4404118,33.81,,,
219,210332603,Treeville,III,3923,3301408,493160,389003,34848,0,281222,0,426772,4357722,2.75,,,
235,210350768,ミーを愛している,III,3923,3007873,-881193,131580,0,6579,274701,0,0,4186305,,,,
244,210365502,Збараж,III,3923,8897458,1442980,2354114,130713,0,232217,0,483416,4006107,16.45,,,
246,210353478,A tổnđầyVN,III,3923,4077499,-8202,1928150,118522,0,235090,0,771699,4000438,9.58,,,
251,210308477,Tino39,III,3923,4995092,745154,189874,9683,4434,258093,0,197798,3954467,,,,
254,210321375,Hitlar,III,3923,3050303,-926234,1674709,65768,0,243886,0,33580,3921362,30.18,,,
258,209752455,кк Asmodeus,III,3923,20199548,3414405,9277034,752182,87515,0,0,890647,3883878,52.08,,,
272,210358546,KimiRaikkonen 7,III,3923,6579585,1683057,1936780,58793,2821,232370,0,365236,3748932,16.20,,,
277,210330926,NhanNai,III,3923,6355529,1070438,165371,16532,0,237316,0,295022,3625868,,,,
278,209694060,ᵏᵏMG3,III,3923,18760626,3241396,8686078,737503,65030,556,0,2081274,3608652,20.86,,,
283,210108666,YunoOne,III,3923,9702598,2952992,2228017,5115,4530,230271,0,351379,3519825,19.15,,,
286,210196059,ᵏᵏＲｅｖ,III,3923,15915936,3901931,8181170,653089,82514,0,0,1773645,3437496,23.06,,,
293,210332178,Volynyaka,III,3923,3447325,-1066678,183254,3888,7202,217365,0,0,3348047,,,,
296,209919261,Lazylol,III,3923,15753781,2152899,7761806,571531,75211,18938,0,949709,3322304,40.07,,,
304,209805042,ʞʞOxnayz,III,3923,24731743,5321370,7735558,632559,70496,0,0,730868,3235196,52.92,,,
307,210197263,кк TowMater,III,3923,23174377,2822276,7521440,568458,89982,676,0,1227783,3183792,30.61,,,
310,210317668,loideptrais1,III,3923,3133416,-260076,712346,38547,0,198209,0,94341,3127323,12.17,,,
324,210139559,кк MuRasaki,III,3923,18106155,4045586,7608818,699728,22789,0,0,913677,3026802,41.64,,,
328,210184352,ккGivnofks,III,3923,13897225,2263267,6813076,512334,73049,15602,0,1915015,3013856,17.64,,,
332,210152988,ᵏᵏHEWO,III,3923,26256144,6179364,7146687,574810,69692,0,0,1014317,2996160,35.23,,,
334,210308772,DieAnotherDay54,III,3923,3638536,207202,663349,41257,0,187499,0,473297,2977513,5.02,,,
335,209649700,кк Fszcząs,III,3923,17249177,2825305,7254795,649157,37384,0,0,1022315,2970468,35.48,,,
339,210421691,Løbó,III,3923,8283179,2178846,3915644,52807,0,182853,0,343806,2954023,37.17,,,
341,209776755,MrMadMonkey,III,3923,17528814,4289584,7172392,642751,36095,0,0,1229143,2931954,29.18,,,
351,210298779,Fenrir84,III,3923,4644607,439315,729644,40595,0,176954,0,310213,2816690,7.49,,,
357,210363876,anyannnn,III,3923,4687408,642661,454707,9936,0,178173,0,175168,2712339,6.43,,,
358,210206328,A1122,III,3923,9151474,2286815,992031,75498,6688,155769,0,1021368,2705407,4.21,,,
367,209931446,PorSuk,III,3923,4432797,432800,1658809,105370,0,147410,0,700500,2632630,9.78,,,
375,210299376,ghost hunter 08,III,3923,9957405,2672025,358856,21229,0,165877,0,228055,2573071,4.55,,,
376,209759415,Sa đoạ 42,III,3923,7599654,-130768,3033398,139577,0,133473,0,511851,2560403,23.50,,,
377,210412502,ᵃⁿᵍMoNkE,III,3923,11043461,2905241,1521738,877,0,170318,0,171473,2558278,22.26,,,
378,209683955,кк Nam,III,3923,15078471,2764322,6194720,551948,33324,0,0,926217,2541032,33.44,,,
383,209749923,ᵏᵏGru,III,3923,20959915,6010037,2312672,162839,30449,100122,0,742975,2457676,13.72,,,
384,209890171,LuLuLaLa,III,3923,18959013,3144817,5888526,483972,52163,0,0,760464,2457518,38.72,,,
389,210390745,ᵃⁿᵍBáOo,III,3923,13887560,4447171,3929048,159486,3206,116331,0,482594,2414969,32.80,,,
390,209830111,ᴬᵛBlizt,III,3923,15686847,3504879,5692122,435141,66934,0,0,1041451,2409904,27.33,,,
392,210423049,ᵃⁿᵍCain,III,3923,10059362,2292244,1898393,53523,0,145378,0,299042,2394762,21.36,,,
398,211280516,Bắp Gia Ljnh,III,3923,4915081,69667,264606,0,0,158154,0,0,2372310,,,,
406,210458222,김태평,III,3923,3298020,-104228,671325,0,0,152016,0,369,2280240,,,,
415,209749456,McMidgetMommy,III,3923,20316808,4349341,5112560,383778,63739,0,0,891230,2172502,28.68,,,
417,209625931,ккSWAT,III,3923,16831682,3294864,6465593,310125,3355,58829,0,697421,2156485,42.75,,,
421,210369650,Thanh Nam k3,III,3923,6193450,-129098,338470,33847,0,132687,0,151350,2125693,5.96,,,
423,210345743,Furkancq,III,3923,4953306,1171423,349098,16960,0,135581,0,112774,2101555,7.03,,,
425,210400254,ᵃⁿᵍBBQSGE,III,3923,17828570,5369285,6890494,390640,14419,25023,0,493810,2082095,66.40,,,
426,210523463,CZAʆhieu12345h,III,3923,10246461,2583242,3765685,119142,7799,101777,0,537783,2081213,29.44,,,
427,210298691,モニタリング,III,3923,9821306,2151348,1825364,158341,0,96426,0,149961,2079754,37.04,,,
431,209759877,Faust x҉ 23,III,3923,18930964,3642837,4183865,367686,24805,22245,0,949734,2052469,21.52,,,
434,210159848,ᴷᴷ Slarre,III,3923,16632117,4132909,4738050,340804,66414,0,0,773297,2027356,30.64,,,
450,210420734,ᵃⁿᵍYuno,III,3923,4101814,863558,951864,35758,0,119752,0,348405,1939312,10.17,,,
452,210166702,ᵏᵏMisterSqa,III,3923,19822133,7297441,4717230,431489,20117,0,0,1162323,1927126,20.29,,,
457,210741085,xHokagee,III,3923,5309620,1395272,834835,0,0,126078,0,85060,1891170,19.77,,,
464,210268323,PђสRสøђ,III,3923,12700572,2664876,4579403,415467,19427,0,0,446762,1856138,51.25,,,
468,209757626,ᴬᶜSnowphiee,III,3923,15553191,2790559,4433156,322376,52550,0,0,1184099,1815004,18.72,,,
469,210338940,TOGEPİ57,III,3923,4300713,598320,678144,958,0,120476,0,56233,1810972,19.19,,,
473,210417810,ᵃⁿᵍRaijin,III,3923,17204969,5767910,4388860,395302,19087,783,0,784240,1783823,27.95,,,
480,194095832,ᵏᵏ Ragnar,III,3923,8712971,1904309,4255940,364904,29828,0,0,818600,1757896,26.00,,,
485,209833497,ᵃⁿᵍBun,III,3923,22982335,5439421,4160270,350867,32580,0,0,777642,1729268,26.75,,,
487,209749783,๛Shiba๛,III,3923,15043980,2250214,3992465,213665,37066,33057,0,771254,1721175,24.82,,,
500,210416938,ᵃⁿᵍCalca,III,3923,16232099,4221287,3053222,275484,7111,32551,0,367481,1661311,38.16,,,
502,209800887,chithethoi9999,III,3923,4636638,117345,1351139,0,0,109864,0,866,1647960,61.01,,,
504,210369193,Hoadaijin,III,3923,4497842,727645,341782,30893,0,101131,0,135409,1640537,7.22,,,
515,210349240,Kama0201,III,3923,4894453,1064765,886252,37583,0,94767,0,382267,1571837,9.29,,,
532,210269484,ᵏᵏVenus,III,3923,17695046,4957224,3741200,366944,3588,0,0,661751,1503656,28.27,,,
535,210333282,Корова1,III,3923,3138628,236131,242055,17330,0,95305,0,84082,1498895,,,,
536,209816068,ᴿᵁCHEZEE,III,3923,13727879,2656203,3017871,297880,0,20151,0,168165,1493785,80.13,,,
539,210365759,Sinh ngo,III,3923,7609705,1546792,997624,0,0,98681,0,34381,1480215,37.49,,,
548,210354476,ᴬ Tobin6969,III,3923,15236339,3378197,1448671,6921,0,94722,0,109815,1448514,35.41,,,
552,210523172,Chaos x҉ 23,III,3923,18033996,4224639,3325190,243085,44717,0,0,1102851,1419510,15.08,,,
554,209808387,ᴷᴷFOLH,III,3923,11556598,2241892,3329066,245629,43615,0,0,1013893,1418666,16.42,,,
558,209860830,кк Stephenц,III,3923,6113321,1507978,1421662,75157,5707,69475,0,690672,1399823,9.35,,,
559,210323286,ккZuro,III,3923,5442504,1726095,2743731,182221,28490,25179,0,1162454,1391469,11.55,,,
562,210352136,jinsakai310,III,3923,4650218,423497,540105,36592,0,82327,0,282109,1381273,7.41,,,
570,210346332,king choudhry,III,3923,3373579,578558,312111,0,0,90340,0,13345,1355100,,,,
571,209862333,Zaebali,III,3923,12760306,3410434,3493061,279739,23415,0,0,596076,1353106,29.30,,,
