Name,Power,Rank,Alliance,Mobilization_Rank,Mobilization_Points,Turned_In,Accepted,Honor_Rank,Honor_Points
angSuntzu,69294771,R4,MadFluffy,2,2060,9,9,2,208025
angFluffy,67093943,R4,MadFluffy,9,1520,7,7,1,229914
Thor x 23,54420631,R4,MadFluffy,37,690,4,4,3,204035
angBBQSGE,23287314,R4,MadFluffy,35,720,7,7,41,107078
Fluffy Queen,20633596,R4,MadFluffy,12,1450,13,13,9,156822
angCain,16617561,R4,MadFluffy,13,1340,6,7,27,126992
Sysstem,74637029,R3,MadFluffy,120,0,0,0,123,13300
angFunny,25348748,R3,MadFluffy,4,1970,12,13,7,170564
angCalca,25326436,R3,MadFluffy,40,660,3,3,18,137355
angGiaHuy,23441502,R3,MadFluffy,50,550,4,4,23,130625
angDooffy,21483963,R3,MadFluffy,103,0,0,0,66,77698
unlimit,21042258,R3,MadFluffy,6,1710,11,12,21,132291
angObi,19301582,R3,MadFluffy,86,0,0,1,73,71639
ıʟFuriaaa,18899818,R3,MadFluffy,94,0,0,0,100,37913
GLordMai,18094927,R3,MadFluffy,17,1140,10,10,15,145608
anghungvv,17590385,R3,MadFluffy,74,180,2,2,110,24483
ʀᴜDark,15471716,R3,MadFluffy,112,0,0,0,106,28927
angBakr,15373120,R3,MadFluffy,83,120,1,1,122,15426
ɢʟ Mixuee,15268318,R3,MadFluffy,91,0,0,0,130,6511
angSoutz,15026469,R3,MadFluffy,119,0,0,0,140,0
angJo,12568272,R3,MadFluffy,41,650,5,5,90,52894
ᴋᴋ Slarre,22541880,R2,MadFluffy,,,,,12,149599
BiNganHoa,22808530,R1,MadFluffy,32,790,5,5,46,102125
ᴋᴋMG3,22134285,R1,MadFluffy,,,,,20,132475
ᴋᴋVenus,21875299,R1,MadFluffy,,,,,5,179678
angSadgame,21086842,R1,MadFluffy,11,1460,7,7,45,102134
ᴋᴋKing Mithra,18334172,R1,MadFluffy,,,,,81,65440
Toxic Vibes,17556964,R1,MadFluffy,33,750,6,7,50,95393
angNotor,16024411,R1,MadFluffy,68,390,3,3,91,49028
anglady,14897161,R1,MadFluffy,29,860,9,10,56,90680
bySel,14881603,R1,MadFluffy,26,900,8,8,43,105852
danjc76,14418173,R1,MadFluffy,,,,,55,91725
Bshusttt,11881085,R1,MadFluffy,,,,,120,16764
✖ᴋᴋREIJACK,11274415,R1,MadFluffy,84,60,1,1,82,64266
AV✖Sirelli,10933490,R1,MadFluffy,1,2160,10,10,65,78941
FATIH ꪶꪶ,31868161,R1,MadFluffy,56,480,2,2,94,42606
angNicohZ,26462827,R1,MadFluffy,14,1260,10,10,17,143194
ang cloud,26201596,R1,MadFluffy,48,570,4,5,36,110242
hīkoi,25917312,R1,MadFluffy,,,,,67,77581
angRaijin,24236690,R1,MadFluffy,78,140,1,1,48,101572
angBun,24200409,R1,MadFluffy,77,150,1,1,6,171816
angbear,22767319,R1,MadFluffy,44,590,5,5,59,83591
angwinkvk,22437809,R1,MadFluffy,27,890,10,10,40,107949
TURAN80g,21638655,R1,MadFluffy,61,420,4,5,16,144781
Armstrong jr XL,21055292,R1,MadFluffy,53,530,3,3,47,101851
ᴋᴋSWAT,20963123,R1,MadFluffy,,,,,54,92269
ᴬᵂ Kozak,19969664,R1,MadFluffy,52,540,3,3,75,70717
angshorty,19600604,R1,MadFluffy,59,450,3,3,13,149034
LORD IZZY 1,19595258,R1,MadFluffy,,,,,88,55206
Gund,19538813,R1,MadFluffy,46,570,5,5,58,86984
angAlcar,19170419,R1,MadFluffy,36,690,5,5,51,93967
angDraken,18737886,R1,MadFluffy,100,0,0,0,74,71496
angFnDuke,18736657,R1,MadFluffy,15,1250,10,10,8,167283
LeshaVoi,18116326,R1,MadFluffy,,,,,28,120654
angGouv,18052863,R1,MadFluffy,5,1800,11,12,29,118062
angKaiLey,18028269,R1,MadFluffy,97,0,0,0,44,103293
ANH TUAN 1,17961963,R1,MadFluffy,8,1610,11,11,25,129731
ang FRODO,17954295,R1,MadFluffy,57,460,3,3,35,115498
Đảo 93,17948864,R1,MadFluffy,108,0,0,0,139,0
ᴋᴋ Cipri,17933888,R1,MadFluffy,,,,,60,82793
Fluffy Rooster,17879222,R1,MadFluffy,23,1050,9,10,24,130108
angZdrawe,17838385,R1,MadFluffy,28,880,5,6,70,72983
angcasper,17672705,R1,MadFluffy,22,1060,7,7,26,127294
angClayFM,17592245,R1,MadFluffy,60,440,4,4,30,117976
angSonk8,17254208,R1,MadFluffy,96,0,0,0,89,53346
ʀᴜSkyLord,17218938,R1,MadFluffy,19,1140,6,6,4,186455
angKomVD2,17037944,R1,MadFluffy,24,980,5,5,10,153122
Queen of Chaos,17012229,R1,MadFluffy,82,120,1,2,33,116441
ᵛᴺ kenji,16877789,R1,MadFluffy,67,400,2,2,11,153079
DaRkNatO,16645213,R1,MadFluffy,43,600,8,9,52,93745
angusbeef,16633667,R1,MadFluffy,,,,,137,217
angLukes,16587678,R1,MadFluffy,7,1620,11,11,71,72641
Zaebali,16538015,R1,MadFluffy,65,400,2,2,34,116390
angPanh,16450223,R1,MadFluffy,121,0,0,0,61,81821
angTGL,16442123,R1,MadFluffy,66,400,2,2,77,68962
angorzrzi,16415917,R1,MadFluffy,93,0,0,0,38,108584
Løbó,16319267,R1,MadFluffy,42,630,7,8,76,70445
angSsOren,16270724,R1,MadFluffy,18,1140,7,7,39,108502
angLunar,16104137,R1,MadFluffy,45,570,5,6,14,146536
Bụng bảo,15993671,R1,MadFluffy,,,,,69,73650
angBryanV,15685284,R1,MadFluffy,21,1080,5,5,93,42845
gladiador 28,15645856,R1,MadFluffy,3,2040,11,11,85,62172
PTQ 8 PRIME,15535909,R1,MadFluffy,,,,,37,109699
angTRAP,15381940,R1,MadFluffy,80,140,1,1,102,37125
angsóc,15158673,R1,MadFluffy,81,120,2,2,111,23829
lml Keter lml,15133989,R1,MadFluffy,34,730,5,5,78,67411
angHoangg,15108982,R1,MadFluffy,39,670,4,4,118,17506
세계평화,15076223,R1,MadFluffy,10,1510,10,10,32,117388
angGiulia,14949800,R1,MadFluffy,,,,,42,106193
ᵛᵒZelsii,14799654,R1,MadFluffy,,,,,53,92845
Dela Steven,14757338,R1,MadFluffy,71,230,2,2,22,131112
angBryan,14745492,R1,MadFluffy,116,0,0,0,49,101494
angMoNkE,14698654,R1,MadFluffy,118,0,0,0,97,41191
EF SǎuVôLệ,14188091,R1,MadFluffy,30,840,5,6,19,136663
angStulti,14181819,R1,MadFluffy,70,280,2,2,83,63876
angNhi,14138935,R1,MadFluffy,,,,,57,89365
angsungod,14090059,R1,MadFluffy,69,310,2,2,72,71951
angRudues,14075415,R1,MadFluffy,64,410,4,4,84,63354
angNolie,14075277,R1,MadFluffy,31,810,6,6,64,79067
sir Yuckfou,14051493,R1,MadFluffy,75,180,2,2,68,73776
angNev✖,13943165,R1,MadFluffy,101,0,0,0,116,21928
angXtelli,13779139,R1,MadFluffy,85,0,0,1,113,23211
angMilos,13694497,R1,MadFluffy,99,0,0,0,79,66487
ᴋᴋ Rekt 2,13508532,R1,MadFluffy,89,0,0,0,135,544
angJilsss,13479988,R1,MadFluffy,73,180,2,2,62,81144
ang Geentg,13346175,R1,MadFluffy,79,140,1,1,63,79324
angsuet,13233929,R1,MadFluffy,107,0,0,0,124,12556
ⁿleander112,13136267,R1,MadFluffy,,,,,127,9781
KouSmiNaS,13116519,R1,MadFluffy,51,540,4,4,95,41336
angyigitl,13109277,R1,MadFluffy,102,0,0,0,114,22802
SkyNemor,12898830,R1,MadFluffy,,,,,112,23588
Ронка,12745220,R1,MadFluffy,20,1080,7,8,31,117832
angCBC,12548023,R1,MadFluffy,106,0,0,0,104,35384
angAkka,12216579,R1,MadFluffy,115,0,0,0,108,28787
Aminvn22,12193140,R1,MadFluffy,72,220,1,1,119,17179
SAMXINH,12073276,R1,MadFluffy,25,940,9,9,86,61124
Halah Asu,11961457,R1,MadFluffy,47,570,5,5,98,40340
Wallerun I,11843060,R1,MadFluffy,38,680,4,4,92,45269
angGHOST,11821986,R1,MadFluffy,95,0,0,0,103,36467
angSunman,11481212,R1,MadFluffy,58,450,4,4,107,28815
Batussai,11362271,R1,MadFluffy,63,420,3,3,87,56686
ᴬ P Rok,10850911,R1,MadFluffy,110,0,0,0,117,19943
LeviHI,10829661,R1,MadFluffy,,,,,131,5965
reeeldid,10829619,R1,MadFluffy,49,560,3,3,105,35101
PowerNekat,10688966,R1,MadFluffy,,,,,109,27765
ᴬ CaesaRio,10609999,R1,MadFluffy,113,0,0,0,99,40022
angCowl,10584186,R1,MadFluffy,54,520,4,4,80,66356
ang STEPHENлж,10406315,R1,MadFluffy,55,480,4,4,115,22674
