Rank,Name,Kingdom,Honor Points
1,['ANG] angFluffy,#3923,128636
2,['ANG] angFunny,#3923,112408
3,['ANG] angSuntzu,#3923,105262
4,['ANG] RUSkyLord,#3923,91239
5,['ANG] angKomVD2,#3923,91156
6,['ANG] EF SàuVôLệ,#3923,88006
7,['ANG] Fluffy Queen,#3923,80139
8,['ANG] angFnDuke,#3923,80133
9,['ANG] Fluffy Jester,#3923,78283
10,['ANG] Zaebali,#3923,77824
11,['ANG] angCalca,#3923,76640
12,['ANG] ang FRODO,#3923,74419
13,['ANG] angshorty,#3923,74419
14,['ANG] LM GiuliaFC,#3923,73910
15,['ANG] angClayFM,#3923,72508
16,['ANG] angBBQSGE,#3923,72288
17,['ANG] A1122,#3923,72009
18,['ANG] ANH TUAN 1,#3923,70632
19,['ANG] A L B O S S,#3923,70183
20,['ANG] angDooffy,#3923,70044
21,['ANG] angSadgame,#3923,69830
22,['ANG] angCain,#3923,69300
23,['ANG] angBryan,#3923,69281
24,['ANG] TURAN80g,#3923,68865
25,['ANG] angorzrzi,#3923,68553
26,['ANG] KK Cipri,#3923,68307
27,['ANG] angLunar,#3923,67819
28,['ANG] angKaiLey,#3923,67318
29,['ANG] angcasper,#3923,65947
30,['ANG] Dela Steven,#3923,64677
31,['ANG] Queen of Chaos,#3923,64038
32,['ANG] SLGouverneur,#3923,63982
33,['ANG] unlimit,#3923,63675
34,['ANG] GLordMai,#3923,63456
35,['ANG] LOLI,#3923,62304
36,['ANG] SLCAPITAN,#3923,61274
37,['ANG] angbear,#3923,60558
38,['ANG] ang Geentg,#3923,58929
39,['ANG] 세계평화,#3923,58168
40,['ANG] Armstrong jr XL,#3923,56930
41,['ANG] angSsOren,#3923,56213
42,['ANG] angwinkvk,#3923,56173
43,['ANG] ang cloud,#3923,55763
44,['ANG] KKJilssssss,#3923,54825
45,['ANG] anglady,#3923,53683
46,['ANG] bySel,#3923,52614
47,['ANG] angObi,#3923,49983
48,['ANG] BiNganHoa,#3923,49714
49,['ANG] angNECO,#3923,48816
50,['ANG] lml Keter lml,#3923,47981
51,['ANG] angAlcar,#3923,47969
52,['ANG] Ронка,#3923,46419
53,['ANG] angCowl,#3923,44684
54,['ANG] SAMXINH,#3923,44629
55,['ANG] angRudues,#3923,43983
56,['ANG] Fluffy Lover,#3923,43866
57,['ANG] angTGL,#3923,42995
58,['ANG] Gund,#3923,42932
59,['ANG] gladiador 28,#3923,41832
60,['ANG] danjc76,#3923,41552
61,['ANG] angDraken,#3923,41161
62,['ANG] angZdrawe,#3923,40820
63,['ANG] angMilos,#3923,40573
64,['ANG] sir Yuckfou,#3923,38225
65,['ANG] MULYONO 11rb T,#3923,36640
66,['ANG] angSonk8,#3923,35866
67,['ANG] angLukes,#3923,35829
68,['ANG] Bụng báo,#3923,35528
69,['ANG] angCBC,#3923,35064
70,['ANG] angNolie,#3923,34085
71,['ANG] angVael,#3923,32496
72,['ANG] Batussai,#3923,32252
73,['ANG] angBbyVix,#3923,32121
74,['ANG] angNotor,#3923,28916
75,['ANG] angJo,#3923,28672
76,['ANG] RUCHEZEE,#3923,26687
77,['ANG] Stultitia,#3923,26059
78,['ANG] Máximoss,#3923,25609
79,['ANG] IFFuriaaa,#3923,25142
80,['ANG] Leano777,#3923,22005
81,['ANG] RUDark,#3923,20700
82,['ANG] angNev✖,#3923,19179
83,['ANG] anghungvv,#3923,17656
84,['ANG] Wallerun I,#3923,17582
85,['ANG] reeeldid,#3923,16705
86,['ANG] angBryanV,#3923,16185
87,['ANG] ang STEPHENлж,#3923,15596
88,['ANG] angsóc,#3923,14747
89,['ANG] angSunman,#3923,14417
90,['ANG] angHoangg,#3923,14324
91,['ANG] angShroud,#3923,14142
92,['ANG] angBakr,#3923,13670
93,['ANG] Sysstem,#3923,13300
94,['ANG] angAkka,#3923,12677
95,['ANG] BeGod,#3923,11873
96,['ANG] angMoNkE,#3923,11704
97,['ANG] KouSmiNaS,#3923,11063
98,['ANG] KK Escipion,#3923,10914
99,['ANG] Aminvn22,#3923,10564
100,['ANG] SLbones,#3923,10480
101,['ANG] ksa 511,#3923,9855
102,['ANG] angsuet,#3923,9533
103,['ANG] Ahmad511,#3923,9424
104,['ANG] angyigitl,#3923,9247
105,['ANG] RU HoangRed,#3923,8729
106,['ANG] Løbó,#3923,8601
107,['ANG] Nleander112,#3923,7471
108,['ANG] GL Mixuee,#3923,6436
109,[EQng] PEQUISAURIUS,#3923,5665
110,['ANG] xHokagee,#3923,3335
111,['ANG] angTRAP,#3923,3285
112,['ANG] angAL0NE,#3923,2051
113,['ANG] AcDeputatovaDi,#3923,1661
114,['ANG] angCalcaF,#3923,1013
115,['ANG] angSoutz,#3923,0
116,['ANG] Đào 93,#3923,0
117,['ANG] MadFluffy,#3923,0
