Rank,Name,Honor Points
1,ᵃⁿᵍFluffy,178746
2,ᴷᴷ Rozz,152712
3,ᵃⁿᵍSuntzu,150123
4,Cleo x 23,149314
5,ᵃⁿᵍFunny,147585
6,ᵃⁿᵍBun,135766
7,ᴿᵁSkyLord,127987
8,ᵃⁿᵍKomVD2,122478
9,ᴷᴷ Nam,121411
10,ᵛⁿkenji,115729
11,ᵃⁿᵍFnDuke,113033
12,ᵛᵒChriss33,112759
13,ᴱᶠ SảuVôLễ,109585
14,ᵃⁿᵍshorty,109273
15,ᵃⁿᵍCalca,106807
16,ᴷᴷ Padang,105190
17,A1122,104541
18,ᵃⁿᵍLunar,103722
19,Fluffy Queen,103581
20,Fluffy Jester,102748
21,ᴰᴿ Rajah117,102132
22,ᵃⁿᵍGiaHuy,98908
23,Zaebali,98238
24,TURAN80g,97278
25,iMaverick,97203
26,ᵃⁿᵍFRODO,97152
27,ᵃⁿᵍorzrzi,96891
28,ᵃⁿᵍClayFM,96351
29,Dela Steven,96255
30,ᵃⁿᵍBBQSGE,94630
31,GLordMai,93548
32,ANH TUAN 1,91006
33,ᴷᴷMG3,90815
34,ᵃⁿᵍCain,90761
35,ᵃⁿᵍKaiLey,90407
36,ᵃⁿᵍBryan,90131
37,unlimit,89143
38,Queen of Chaos,88495
39,ᴷᴷTôm Lazy,87482
40,ᵃⁿᵍcasper,86601
41,ᴸᴹGiuliaFC,86379
42,CZAJhieu12345h,86378
43,ᵃⁿᵍSadgame,86232
44,ᵃⁿᵍRaijin,85785
45,ˢᴸGouverneur,84072
46,ᵃⁿᵍBáOo,81354
47,ᴷᴷHàUyễn,79007
48,ᵃⁿᵍwinkvk,78850
49,세계평화,78163
50,ᵃⁿᵍDooffy,77698
51,ᵃⁿᵍcloud,77662
52,bySel,77204
53,ᵃⁿᵍPanh,76831
54,Armstrong jr XL,74756
55,BiNganHoa,74643
56,Ronka,73301
57,ᵃⁿᵍSsOren,72200
58,ang Geentg,71119
59,ᵃⁿᵍlady,70923
60,ᴬᵂKozak,68331
61,ᴷᴷJilssssss,66200
62,ᵃⁿᵍbear,65492
63,Gund,65019
64,ᵃⁿᵍZdrawe,64372
65,ᵛᵒZelsii,63819
66,BINH F2P,62089
67,ᵃⁿᵍRudues,60253
68,ᵃⁿᵍObi,60030
69,ᵃⁿᵍAlcar,57499
70,sir Yuckfou,57480
71,ᵃⁿᵍNhi,56941
72,Fluffy Lover,56805
73,ᵃⁿᵍMilos,56275
74,lml Keter lml,56235
75,ᵃⁿᵍTGL,52792
76,gladiador 28,52466
77,ᴬlegioneSPQR,51509
78,ᵃⁿᵍDraken,49901
79,ᵃⁿᵍCowl,49617
80,ᵃⁿᵍsungod,48258
81,Bụng báo,47749
82,ᵃⁿᵍNolie,47237
83,Stultitia,44642
84,Batussai,44038
85,ᵃⁿᵍLukes,43850
86,ᵃⁿᵍSonk8,42891
87,MULYONO 11rb T,42510
88,AV✖Sirelli,42414
89,ᵃⁿᵍVael,40471
90,ᵃⁿᵍJo,35693
91,Máximoss,35431
92,ᵃⁿᵍCBC,35254
93,FATIH II,34280
94,ᵃⁿᵍNotor,32716
95,KouSmiNaS,32285
96,God chosen one,31885
97,ᴷᴷ Escipion,30847
98,Wallerun I,30062
99,ᴿᵁCHEZEE,29729
100,ᴵᴸFuriaaa,28887
101,reeeldid,28355
102,ᵃⁿᵍAkka,28310
103,ᴿᵁDark,26731
104,ᵃⁿᵍhungvv,24106
105,ᵃⁿᵍXtelli,23008
106,ᵃⁿᵍSunman,23003
107,ᵃⁿᵍyigitl,22029
108,ang STEPHENлж,21734
109,ᵃⁿᵍsóc,20780
110,ᵃⁿᵍNev✖,20310
111,ᵃⁿᵍShroud,19176
112,ᵃⁿᵍBryanV,18789
113,ᴬ P Rok,18377
114,Aminvn22,16037
115,ᵃⁿᵍHoangg,15300
116,ᵃⁿᵍBakr,14810
117,Sysstem,13300
118,ᵃⁿᵍsuet,11620
119,Apollo ⊘,8968
120,ᵃⁿᵍTRAP,8855
121,ⁿleander112,7869
122,AcDeputatovaDi,7129
123,ᴳᴸ Mixuee,6511
124,ᵃⁿᵍAL0NE,2686
125,PALLAS,58
126,Đảo 93,0
127,ᵃⁿᵍSoutz,0
128,MadFluffy,0
