Rank,Governor,Individual Points,Turned In,Accepted
1,angFluffy,6260,29,29
2,angSuntzu,4820,22,22
3,sLGouverneur,2680,15,15
4,angSadgame,2590,15,16
5,angCain,2260,10,11
6,angBryan,2250,14,14
7,angTGL,2220,14,14
8,ang FRODO,2120,11,11
9,EF SầuVôLệ,2050,14,15
10,angNolie,2000,13,13
11,angKomVD2,1950,11,11
12,Fluffy Queen,1930,14,14
13,gladiador 28,1860,13,13
14,vn kenji,1860,11,11
15,RUSkyLord,1730,14,14
16,angVael,1710,12,12
17,GLordMai,1670,14,15
18,LM GiuliaFC,1670,12,12
19,angBun,1670,9,9
20,angBryanV,1660,8,8
21,angClayFM,1650,14,14
22,Ронка,1470,11,12
23,unlimit,1440,8,9
24,angObi,1440,8,8
25,angFunny,1410,10,10
26,angorzrzi,1370,9,9
27,angDooffy,1370,8,8
28,angJo,1310,9,9
29,angFnDuke,1280,9,10
30,angNECO,1240,7,7
31,lml Keter lml,1210,7,7
32,angCalca,1190,7,7
33,STALINGGARD,1170,8,8
34,anglady,1140,13,14
35,angLukes,1110,11,11
36,angBBQSGE,1110,9,9
37,Stultitia,1110,8,8
38,angsungod,1080,10,10
39,Batussai,1070,7,7
40,ang cloud,1020,7,7
41,angwinkvk,1010,11,11
42,Fluffy Jester,1010,7,7
43,Fluffy Lover,970,8,9
44,anghungvv,960,9,9
45,angcasper,940,8,8
46,angAdegi,930,8,8
47,Bụng báo,930,7,7
48,Egyptian H E RO,910,7,7
49,angbear,870,10,10
50,angSsOren,850,6,6
51,angPanh,850,6,6
52,iLFuriaaa,830,6,6
53,angBbyVix,810,8,8
54,LOLI,740,6,6
55,sLCAPITAN,730,6,6
56,angBakr,720,5,5
57,Wallerun I,710,7,7
58,Gund,660,7,8
59,NĩcohZën,640,4,4
60,angAlcar,640,4,4
61,angRaijin,640,4,4
62,angBáOo,600,4,4
63,angshorty,590,4,4
64,angXtelli,590,4,4
65,angAlak D,560,4,4
66,angZETMA,560,3,3
67,DLMayorEric,550,4,4
68,angAkka,550,3,3
69,angDraken,540,4,4
70,Zaebali,540,4,4
71,angSonk8,540,3,3
72,RU HoangRed,530,5,5
73,angHoangg,510,5,5
74,angNotor,500,7,7
75,God chosen one,480,6,7
76,angKaiLey,480,5,5
77,angGiaHuy,480,4,4
78,angShroud,460,4,4
79,Armstrong jr XL,400,3,4
80,angSunman,400,3,3
81,Queen of Chaos,380,5,6
82,angCowl,380,5,5
83,angNev✖,380,3,3
84,nleander112,370,3,3
85,BiNganHoa,360,4,4
86,sir Yuckfou,330,3,3
87,angNhi,320,2,2
88,TURAN80g,300,3,4
89,ang Pacul,270,4,4
90,angsóc,260,2,2
91,reeeldid,220,1,1
92,angMilos,120,2,2
93,ksa 511,120,1,1
94,angZdrawe,90,1,2
95,angGHOST,90,1,1
96,✖MihawkX,90,1,1
97,angyigitl,60,1,1
98,ang STEPHENлж,60,1,1
99,LH sachie,60,1,1
100,angsuet,0,0,1
101,HAMMUD HAYIZ 0,0,0,0
102,angCeje,0,0,0
103,Dela Steven,0,0,0
104,Máximoss,0,0,0
105,ang Geentg,0,0,0
106,BINH F2P,0,0,0
107,angAL0NE,0,0,0
108,SIR°NEON,0,0,0
109,angCrus8r,0,0,0
110,Djembo,0,0,0
111,angDante,0,0,0
112,OsaBloodWarrioR,0,0,0
113,angDivid3,0,0,0
114,ANH TUAN 1,0,0,0
115,angCBC,0,0,0
116,YunoOne,0,0,0
117,Đảo 93,0,0,0
118,RUDark,0,0,0
119,thegoathimself,0,0,0
120,ang,0,0,0
121,ADOLF SAMI,0,0,0
122,angTRAP,0,0,0
123,angSoutz,0,0,0
124,Sysstem,0,0,0
