Rank,Governor,Individual Points,Turned In,Accepted
1,angFluffy,7200,33,33
2,angSuntzu,5020,23,23
3,angCain,2920,13,13
4,sLGouverneur,2770,16,16
5,angBryan,2610,16,16
6,angSadgame,2590,15,16
7,ang FRODO,2300,12,12
8,angFunny,2280,15,15
9,angKomVD2,2250,15,15
10,EF SầuVôLệ,2230,16,16
11,angTGL,2220,14,14
12,angNolie,2120,15,15
13,Fluffy Queen,2110,15,15
14,angCalca,1990,11,11
15,RUSkyLord,1970,16,16
16,GLordMai,1940,16,16
17,angJo,1930,14,14
18,gladiador 28,1860,13,13
19,vn kenji,1860,11,11
20,Ронка,1850,14,14
21,angBun,1850,10,10
22,angVael,1830,13,13
23,angObi,1820,10,10
24,angClayFM,1710,15,15
25,LM GiuliaFC,1670,12,12
26,lml Keter lml,1660,10,10
27,angBryanV,1660,8,8
28,unlimit,1620,9,9
29,angSsOren,1560,11,11
30,angFnDuke,1520,11,11
31,ang cloud,1380,10,11
32,angorzrzi,1370,9,9
33,angDooffy,1370,8,8
34,Fluffy Lover,1350,11,11
35,angNECO,1240,7,7
36,STALINGGARD,1170,8,8
37,angDraken,1160,8,9
38,anglady,1140,13,13
39,angLukes,1110,11,11
40,angBBQSGE,1110,9,9
41,Stultitia,1110,8,8
42,Bụng báo,1110,8,8
43,anghungvv,1080,11,11
44,angsungod,1080,10,11
45,Fluffy Jester,1070,8,8
46,Batussai,1070,7,7
47,angwinkvk,1010,11,11
48,angcasper,940,8,8
49,angRudues,930,8,8
50,Egyptian H E RO,910,7,7
51,angbear,870,10,10
52,angAlcar,870,6,6
53,angPanh,850,6,6
54,iLFuriaaa,830,6,6
55,sLCAPITAN,820,7,7
56,angBbyVix,810,8,8
57,Wallerun I,800,8,8
58,angShroud,800,7,7
59,Gund,780,8,8
60,LOLI,740,6,6
61,angBáOo,740,5,5
62,angBakr,720,5,5
63,NĩcohZën,640,4,4
64,angRaijin,640,4,4
65,God chosen one,600,7,7
66,angshorty,590,4,4
67,angXtelli,590,4,4
68,Queen of Chaos,580,7,8
69,sir Yuckfou,570,6,6
70,angAlak D,560,4,4
71,angZETMA,560,3,3
72,DLMayorEric,550,4,4
73,angAkka,550,3,3
74,Zaebali,540,4,4
75,Armstrong jr XL,540,4,4
76,angAL0NE,540,4,4
77,angSonk8,540,3,3
78,RU HoangRed,530,5,5
79,angHoangg,510,5,5
80,✖MihawkX,510,3,3
81,angNotor,500,7,7
82,angKaiLey,480,5,6
83,angGiaHuy,480,4,4
84,angNev✖,470,4,4
85,angSunman,400,3,3
86,angCowl,380,5,5
87,nleander112,370,3,3
88,BiNganHoa,360,4,4
89,angNhi,320,2,3
90,TURAN80g,300,3,4
91,ang Pacul,270,4,4
92,angsóc,260,2,2
93,reeeldid,220,1,1
94,angMilos,120,2,2
95,ksa 511,120,1,1
96,angGHOST,90,1,1
97,angZdrawe,90,1,1
98,angCBC,90,1,1
99,angyigitl,60,1,1
100,ang STEPHENлж,60,1,1
101,LH sachie,60,1,1
102,angDante,0,0,1
103,HAMMUD HAYIZ 0,0,0,0
104,angCeje,0,0,0
105,Dela Steven,0,0,0
106,Máximoss,0,0,0
107,ang Geentg,0,0,0
108,BINH F2P,0,0,0
109,SIR°NEON,0,0,0
110,angCrus8r,0,0,0
111,Djembo,0,0,0
112,OsaBloodWarrioR,0,0,0
113,angDivid3,0,0,0
114,ANH TUAN 1,0,0,0
115,YunoOne,0,0,0
116,angsuet,0,0,0
117,Đảo 93,0,0,0
118,RUDark,0,0,0
119,thegoathimself,0,0,0
120,ang,0,0,0
121,ADOLF SAMI,0,0,0
122,angTRAP,0,0,0
123,angSoutz,0,0,0
124,Sysstem,0,0,0
