Rank,Governor,Power
R5,MadFluffy,45542
R4,angFluffy,75493512
R4,Sysstem,74637029
R4,angSuntzu,65251113
R4,angFunny,23571199
R4,Fluffy Queen,20826857
R4,angBBQSGE,20710260
R4,angVael,20264518
R4,angCain,14217020
R3,angNECO,18211788
R3,angDraken,17737115
R3,angSadgame,17648674
R3,angObi,17385409
R3,angSonk8,17186926
R3,STALINGGARD,17178072
R3,Armstrong jr XL,16996099
R3,angSoutz,15026469
R3,angAlcar,14790528
R3,RUCHEZEE,14561826
R3,Queen of Chaos,14389749
R3,angNev✖,13782071
R3,angTRAP,13139832
R3,angMilos,13051515
R3,angBryanV,12139250
R3,angNolie,11668891
R3,angJo,10177081
R3,angDante,9776607
R3,angAlak D,9675907
R3,angSunman,9269136
R3,angShroud,7437277
R2,angwinkvk,17459877
R2,iLFuriaaa,16699520
R2,anghungvv,16182445
R2,GL Mixuee,14806419
R2,isbones,13895940
R2,ψShadowLunar,13169393
R2,angBakr,12904224
R2,angsóc,12893804
R2,RUDark,12398059
R2,nleander112,11584639
R2,SAMXINH,9151480
R2,Wallerun I,8894238
R2,angAL0NE,8862081
R1,angBbyVix,30103982
R1,angBun,25106299
R1,ang cloud,22155937
R1,angRaijin,21196533
R1,angDooffy,20912310
R1,angCalca,20450029
R1,angGiaHuy,20293965
R1,BiNganHoa,19828939
R1,angbear,18637334
R1,angFnDuke,17468896
R1,LOLI,17296079
R1,TURAN80g,17004672
R1,angBáOo,16870861
R1,angshorty,16630866
R1,unlimit,16580234
R1,Fluffy Jester,16396360
R1,ang FRODO,16238359
R1,angPanh,15974309
R1,sLGouverneur,15811279
R1,angClayFM,15628893
R1,Fluffy Lover,15475032
R1,angKaiLey,14798819
R1,GLordMai,14770326
R1,ANH TUAN 1,14587926
R1,Gund,14543481
R1,angZdrawe,14531409
R1,angorzrzi,14454405
R1,Zaebali,14447979
R1,angKomVD2,14398520
R1,vn kenji,14052895
R1,angLukes,14000961
R1,anglady,13754606
R1,angHoangg,13734175
R1,angSsOren,13702821
R1,angNotor,13552629
R1,angTGL,13436270
R1,Dela Steven,13294230
R1,Bụng báo,13289673
R1,angBryan,13113881
R1,lml Keter lml,13061962
R1,Đảo 93,12864789
R1,KK Escipion,12769997
R1,Stultitia,12623413
R1,세계평화,12619488
R1,angsungod,12549222
R1,LM GiuliaFC,12532847
R1,angRudues,12434375
R1,gladiador 28,12396998
R1,sir Yuckfou,12379223
R1,angXtelli,12371786
R1,bySel,12326034
R1,✖MihawkX,12291951
R1,angCBC,12032596
R1,angNhi,11947820
R1,EF SầuVôLệ,11633692
R1,モニタリング,11519437
R1,angGHOST,11125084
R1,angsuet,11068822
R1,Ронка,10874117
R1,angCowl,10660784
R1,sLCAPITAN,10505883
R1,angAkka,10186221
R1,angyigitl,10169566
R1,reeeldid,9989462
R1,Batussai,9971731
R1,ADOLF SAMI,9844125
R1,ksa 511,9715445
R1,sPKapiBara,9416431
R1,AcDeputatovaDi,9060115
R1,KouSmiNaS,9007787
R1,AV✖Sirelli,7966926
R1,ang STEPHENлж,7915801
R1,Kether1,7594411
R1,thegoathimself,7514568
R1,RU HoangRed,7396087
R1,angFunny3,1498831
