Name,Power,Rank
MadFluffy,173128,Leader
ᵃⁿᵍSuntzu,66042363,R4
ᵃⁿᵍBBQSGE,21635031,R4
Fluffy Queen,19726357,R4
ᵃⁿᵍCain,15325080,R4
ᵃⁿᵍFluffy,64791234,R4
ᵃⁿᵍFunny,24735677,R4
ᵃⁿᵍVael,21586132,R4
ᵃⁿᵍcloud,24726896,R3
unlimit,18187542,R3
ᵃⁿᵍFnDuke,16977581,R3
ᴿᵁSkyLord,15831073,R3
ᴿᵁCHEZEE,15505340,R3
Queen of Chaos,15333698,R3
ᵃⁿᵍJo,11629923,R3
Sysstem,74637029,R3
ᵃⁿᵍRaijin,21775318,R3
ᵃⁿᵍDooffy,21483963,R3
ᵃⁿᵍbear,21383980,R3
ᵃⁿᵍwinkvk,20646393,R3
BiNganHoa,19334020,R3
TURAN80g,19121307,R3
Armstrong jr XL,18913441,R3
ᵃⁿᵍObi,18522765,R3
MULYONO 11rb T,18424574,R3
ᵃⁿᵍshorty,18091782,R3
ᴵᴸFuriaaa,17652067,R3
ᵃⁿᵍDraken,17514415,R3
ᵃⁿᵍBáOo,16946646,R3
ᵃⁿᵍhungvv,16536885,R3
ᵃⁿᵍPanh,15957887,R3
ᴳᴸMixuee,15076846,R3
ᵃⁿᵍSoutz,15026469,R3
ᵃⁿᵍBakr,13860306,R3
ᴿᵁDark,13739266,R3
ᵃⁿᵍsóc,13331265,R3
ᵃⁿᵍNev✖,13119729,R3
FATIH II,30657099,R2
Stultitia,12012719,R2
ᵃⁿᵍBun,23820007,R1
ᵃⁿᵍGiaHuy,22385068,R1
ᵛᵒChriss33,22019324,R1
iMaverick,16282608,R1
ᵃⁿᵍZdrawe,16223290,R1
ᵃⁿᵍcasper,15854791,R1
ᵃⁿᵍAlcar,15649893,R1
A1122,14221789,R1
Dela Steven,13999086,R1
ᵛᵒZelsii,13101625,R1
ᵃⁿᵍNolie,12466033,R1
ᵃⁿᵍyigitl,11508870,R1
Ronka,11168815,R1
AV✖Sirelli,8770229,R1
ᵃⁿᵍShroud,8024782,R1
PALLAS,24990900,R1
ᴷᴷTôm Lazy,24225327,R1
ᵃⁿᵍCalca,23200602,R1
ᴷᴷ Padang,21594124,R1
ᴷᴷMG3,20369205,R1
ᴬᵂKozak,19679708,R1
ᵃⁿᵍSadgame,19315007,R1
ᴷᴷRozz,19294842,R1
ᴰᴿRajah117,18839873,R1
ᴷᴷNam,18408881,R1
Máximoss,17889218,R1
ᵃⁿᵍSonk8,16996481,R1
Gund,16896146,R1
Fluffy Jester,16807457,R1
ᵃⁿᵍFRODO,16785049,R1
GLordMai,16371332,R1
ᵃⁿᵍKaiLey,16116945,R1
ᵃⁿᵍClayFM,16063552,R1
ᵃⁿᵍorzrzi,16038103,R1
Fluffy Lover,15957379,R1
ᵃⁿᵍLukes,15646679,R1
Đảo 93,15579938,R1
ᵃⁿᵍKomVD2,15377823,R1
Zaebali,15281813,R1
ANH TUAN 1,15209144,R1
Bụng báo,15160189,R1
ˢᴸGouverneur,15067346,R1
ᴷᴷHàUyễn,15000733,R1
ᵃⁿᵍSsOren,14982988,R1
ᵛⁿkenji,14913023,R1
ᵃⁿᵍTGL,14843290,R1
ᵃⁿᵍNotor,14715380,R1
ᴸᴹGiuliaFC,14314660,R1
ᵃⁿᵍTRAP,14222884,R1
ᵃⁿᵍLunar,14216593,R1
ᵃⁿᵍHoangg,14155158,R1
세계평화,14109347,R1
BINH F2P,14108838,R1
lml Keter lml,14061428,R1
ᴬlegioneSPQR,14058870,R1
CZAJhieu12345h,14054868,R1
ᵃⁿᵍBryan,13806357,R1
ᴷᴷ Escipion,13806356,R1
ᵃⁿᵍBryanV,13703120,R1
ᵃⁿᵍMilos,13643770,R1
ᵃⁿᵍRudues,13480550,R1
gladiador 28,13267153,R1
ᵃⁿᵍlady,13258601,R1
bySel,13237159,R1
sir Yuckfou,13075624,R1
ᵃⁿᵍsungod,13035318,R1
ᴱᶠ SảuVôLễ,12777686,R1
ang Geentg,12753446,R1
ⁿleander112,12551111,R1
ᵃⁿᵍCBC,12522423,R1
ᴷᴷJilssssss,12434397,R1
ᵃⁿᵍNhi,12318881,R1
Cleo x 23,11956558,R1
ᵃⁿᵍsuet,11936324,R1
ᵃⁿᵍXtelli,11802087,R1
KouSmiNaS,10990768,R1
ᵃⁿᵍAkka,10843416,R1
Aminvn22,10550980,R1
Batussai,10510461,R1
reeeldid,10362561,R1
Wallerun I,10359802,R1
ᵃⁿᵍSunman,10297735,R1
ᵃⁿᵍCowl,10208509,R1
God chosen one,10105250,R1
ang STEPHENлж,10008175,R1
AcDeputatovaDi,9750183,R1
ᴬ P Rok,9408310,R1
ᵃⁿᵍAL0NE,8608144,R1
Apollo ⊘,4824197,R1
