ANGMAR Core Members,,,,,,,,,,,People in question (might be core members who changed names),,,
thegoathimself,unlimit,ᵃⁿᵍNev乄,Wallerun I,,,,,,,,Gund,,,
ᵃⁿᵍBun,ᵃⁿᵍ FRODO,ᵃⁿᵍBryanV,ksa 511,,,,,,,,ᴵᴸFuriaaa,,rehab,
ᵃⁿᵍRaijin,ˢᴸGouverneur,ᵃⁿᵍNolie,ᵃⁿᵍAL0NE,,,,,,,,屮ShadowLunar,,orginially KNG not sure if approved to be a core ANG member,
ᵃⁿᵍCalca,Fluffy Lover,ᵃⁿᵍJo,GLordMai,,,,,,,,ᵃⁿᵍKomVD2,,he is planning to quit after kvk 1 but allow him to participate and see from there,
BỉNgạnHoa,ANH TUAN 1,ᵃⁿᵍDante,АVメSirelli,,,,,,,,モニタリング,,,
ᵃⁿᵍFnDuke,ᵃⁿᵍZdrawe,ᵃⁿᵍAlak D,ang STEPHENлж,,,,,,,,ᵃⁿᵍDonV4,,inactive,
Fluffy Jester,ᵛᴺ kenji,ᵃⁿᵍShroud,ᵃⁿᵍLukes,,,,,,,,ᴰᴸMayorEric,,inactive,according to divide she has been busy but will return
ᵃⁿᵍClayFM,ᵃⁿᵍlady,ⁿleander112,ᵃⁿᵍTGL,,,,,,,,ᵃⁿᵍDivid3,,inactive,
ʳᵘSkyLord,lml Keter lml,Đảo 93,ᴸᴹ GiuliaFC,,,,,,,,Black Ruler,,quit,
ᵃⁿᵍKailey,ᵃⁿᵍXtelli,ᵃⁿᵍHoangg,ᵃⁿᵍRudues,,,,,,,,ᵃⁿᵍWOLF,,inactive,
Zaebali,ᵃⁿᵍCBC,ᵃⁿᵍRudues,ᵃⁿᵍGHOST,,,,,,,,ᵃⁿᵍZETMA,,quit,
ᵃⁿᵍKomVD2,EF SầuVôLệ,ᵃⁿᵍObi,ᵃⁿᵍsuet,,,,,,,,ᵃⁿᵍCeje,,inactive,
ᵃⁿᵍNotor,reeeldid,sir Yuckfou,ᵃⁿᵍAkka,,,,,,,,SSRB,,inactive,
ᵃⁿᵍBryan,ADOLF SAMI,ᵃⁿᵍSonk8,Batussai,,,,,,,,,,,
ᵃⁿᵍsungod,ᵃⁿᵍwinkvk,Armstrong jr XL,,,,,,,,,,,,
sir Yuckfou,ᵃⁿᵍhungvv,ᵃⁿᵍMilos,,,,,,,,,,,,
ᵃⁿᵍNhi,ᵃⁿᵍbbyVIx,ᵃⁿᵍSsOren,,,,,,,,,,,,
ˢᵗCAPITAN,ᵃⁿᵍsóc,ˢᴸGouverneur,,,,,,,,,,,,
ᵃⁿᵍyigitl,ᵃⁿᵍbakr,乂Mihawk乂,,,,,,,,,,,,
ᵃⁿᵍCloud,ᵃⁿᵍNECO,ᵃⁿᵍorzrzi,,,,,,,,,,,,
ᵃⁿᵍDoofy,angSadgame,TURAN80g,,,,,,,,,,,,
ᵃⁿᵍGiahuy,ᵃⁿᵍDraken,Rонка,,,,,,,,,,,,
ᵃⁿᵍbear,ᵃⁿᵍAlcar,ᵃⁿᵍCowl,,,,,,,,,,,,
ᵃⁿᵍTrap,Queen of not Chaos,STALINGGARD,,,,,,,,,,,,
