Name,Power,Rank,New
MadFluffy,45542,Leader,
Suntzu,64079313,R4,
BBQSGE,20402031,R4,
Fluffy Queen,20349971,R4,
Sysstem,74637029,R4,
Vael,19705002,R4,
Cain,13460222,R4,
Alcar,14172407,R3,
Shroud,6718399,R3,
GiaHuy,19906300,R3,
NECO,18193840,R3,
bear,18032998,R3,
Sadgame,17434837,R3,
Draken,17097690,R3,
Obi,17027710,R3,
Sonk8,16925167,R3,
STALINGGARD,16625793,R3,
Armstrong jr XL,16444767,R3,
shorty,16005269,R3,
FRODO,15535104,R3,
Panh,15388229,R3,
Soutz,15026469,R3,
CHEZEE,14373872,R3,
Zdrawe,14127094,R3,
Lukes,13747196,R3,
NevX,13503057,R3,
Queen of Chaos,13028266,R3,
TRAP,12751121,R3,
Milos,12610497,R3,
BryanV,11959785,R3,
Nolie,11054319,R3,
Dante,9732235,R3,
Alak D,9675907,R3,
Batussai,9668967,R3,
Jo,9465422,R3,
Sunman,9012181,R3,
Calca,17495419,R3,
BbyVix,30039584,R2,
ClayFM,15035128,R2,
winkvk,17135044,R2,
Furiaaa,16541683,R2,
hungvv,15815812,R2,
Mixuee,14672301,R2,
Gund,14151383,R2,
orzrzi,13807335,R2,Yes
bones,13798349,R2,
Dela Steven,13578737,R2,
Hoangg,13279146,R2,Yes
Notor,13072944,R2,
ShadowLunar,13009886,R2,
Bakr,12618776,R2,
Đào 93,12550247,R2,
sóc,12524891,R2,Yes
Ceje,12256487,R2,
lml Keter lml,12137736,R2,
Dark,12006770,R2,
leander112,11372005,R2,
CBC,11294827,R2,
suet,10694131,R2,Yes
Cowl,10595212,R2,Yes
Akka,9999932,R2,
reeeldid,9818044,R2,
SAMXINH,8982325,R2,
Wallerun I,8504943,R2,
AL0NE,8298779,R2,
Fluffy,75925640,R1,
Funny,22714173,R1,
unlimit,15872946,R1,
GLordMai,13854086,R1,
lady,13580506,R1,
Zaebali,13282581,R1,
Stultitia,12175654,R1,
EF SầuVôLệ,11335856,R1,
Nhi,11274585,R1,
Pacul,10043802,R1,
Ha Na Shop 3921,1792787,R1,Yes
HanaFarm F28,1233405,R1,Yes
Bun,24457783,R1,
REKT,23335072,R1,Yes
B A S I L,22934365,R1,Yes
cloud,21654197,R1,
Dooffy,20878794,R1,
MG3,20479557,R1,Yes
BiNganHoa,19281938,R1,
Chaos x 23,18850236,R1,Yes
FnDuke,17272524,R1,
LOLI,17033350,R1,
TURAN80g,16481311,R1,
Fluffy Jester,15978792,R1,
BáOo,15735057,R1,
Gouverneur,15403387,R1,
Fluffy Lover,15007179,R1,
KaiLey,14678233,R1,
SkyLord,14139231,R1,
KomVD2,14122820,R1,
ANH TUAN 1,13658552,R1,
casper,13154033,R1,
TGL,12942780,R1,Yes
Bụng báo,12866262,R1,
Leano777,12830183,R1,Yes
SsOren,12667692,R1,
Escipion,12364936,R1,Yes
A1122,12313841,R1,Yes
sungod,12149908,R1,
BINH F2P,12004625,R1,Yes
Bryan,11961989,R1,
gladiador 28,11911694,R1,
Xtelli,11910891,R1,
MihawkX,11808494,R1,
sir Yuckfou,11782034,R1,
sachie,11379777,R1,Yes
モニタリング,11249933,R1,Yes
Ronka,10481602,R1,
CAPITAN,10183190,R1,
Aminvn22,9874975,R1,Yes
ksa 511,9212244,R1,Yes
AcDeputatovaDi,9003163,R1,Yes
XkkREIJACK,8758942,R1,Yes
KouSmiNaS,8565576,R1,Yes
ZFR5339,7618944,R1,Yes
aubsツ,7489205,R1,Yes
thegoathimself,7410312,R1,
HoangRed,7292956,R1,Yes
STEPHENлж,7143857,R1,Yes
LazE,6379617,R1,Yes
Ha Na ShopF5,1598501,R1,Yes
Buby Farm,976957,R1,Yes
TowMater,23541638,R1,Yes
