Name,Power,Role
Sysstem,13182510,Coordinator
Funny,3847845,Coordinator
Fluffy Queen,3726152,Coordinator
Suntzu,7569914,Coordinator
Fluffy,17547960,Coordinator
shorty,3844235,Starter
Crus8r,2758564,Starter
Kaidoカイドウ,1813180,Starter
cloud,2951141,Starter
Vaelstrom,,Starter
FnDuke,4014288,Starter
bear,3609646,Starter
BBQSGE,2179659,Starter
SsOren,2474170,Starter
ZETMA,2335129,Starter
Nolie,1692585,Starter
Bart,1853332,Starter
Hādes,3328969,Starter
BiNganHoa,3189769,Starter
Fluffy Jester,,Starter
NECO,2303786,Starter
Bakr,2085501,Starter
Sonk8,2257841,Starter
GLordMai,2272000,Starter
Draken,2986630,Starter
Calca,2520694,Starter
Obi,3323257,Starter
MayorEric,3661930,Starter
GiaHuy,3397133,Starter
SkyLord,,Starter
KaiLey,2493120,Substitute
WOLF,1453696,Substitute
Notor,1893487,Substitute
Máximoss,2497519,Substitute
Xtelli,,Substitute
Cain,1985545,Substitute
NevX,2901078,Substitute
Enes1111,2417065,Substitute
Lady Leanna,2832901,Substitute
Shroud,,Substitute
