Team,Name,Role
1,Suntzu,Coordinator
1,Fluffy,Coordinator
1,Funny,Coordinator
1,Cain,Coordinator
1,Fluffy Queen,Coordinator
1,Vael,Starter
1,SkyLord,Starter
1,cloud,Starter
1,Zdrawe,Starter
1,Ronka,Starter
1,casper,Starter
1,Xtelli,Starter
1,winkvk,Starter
1,Shroud,Starter
1,unlimit,Starter
1,Nolie,Starter
1,Lukes,Starter
1,Lunar,Starter
1,GiaHuy,Starter
1,Queen of Chaos,Starter
1,Fluffy Jester,Starter
1,Bun,Starter
1,Calca,Starter
1,Obi,Starter
1,ClayFM,Starter
1,bear,Starter
1,FnDuke,Starter
1,Akka,Starter
1,KouSmiNaS,Starter
1,Jo,Sub
1,AV✖Sirelli,Sub
1,FRODO,Sub
1,FATIH II,Sub
1,sungod,Sub
1,leander112,Sub
1,Dark,Sub
1,Gouverneur,Sub
1,BBQSGE,Sub
1,MULYONO 11rb T,Sub
1,Aminvn22,Sub
2,SsOren,Coordinator
2,Draken,Coordinator
2,Hoangg,Starter
2,Furiaaa,Starter
2,Stultitia,Starter
2,Armstrong jr XL,Starter
2,Mixuee,Starter
2,Sonk8,Starter
2,sóc,Starter
2,ANH TUAN 1,Starter
2,Batussai,Starter
2,GLordMai,Starter
2,sir Yuckfou,Starter
2,Nhi,Starter
2,hungvv,Starter
2,lady,Starter
2,shorty,Starter
2,Raijin,Starter
2,Fluffy Lover,Starter
2,Nev✖,Starter
2,KaiLey,Starter
2,CHEZEE,Starter
2,yigitl,Starter
2,TGL,Starter
2,kenji,Starter
2,lml Keter lml,Starter
2,legioneSPQR,Starter
2,BáOo,Starter
2,BiNganHoa,Starter
2,ang Geentg,Starter
2,TURAN80g,Sub
