Name,Power,Role
Vael,19705002,Coordinator
Suntzu,64079313,Coordinator
Fluffy,75925640,Coordinator
Funny,22714173,Coordinator
Fluffy Queen,20349971,Coordinator
SkyLord,14139231,Starter
Dooffy,20878794,Starter
CAPITAN,10183190,Starter
Zdrawe,14127094,Starter
Ronka,10481602,Starter
casper,13154033,Starter
Xtelli,11910891,Starter
winkvk,17135044,Starter
unlimit,15872946,Starter
Batussai,9668967,Starter
BbyVix,30039584,Starter
GLordMai,13854086,Starter
STALINGGARD,16625793,Starter
lady,13580506,Starter
ShadowLunar,13009886,Starter
Bryan,11961989,Starter
GiaHuy,19906300,Starter
Fluffy Jester,15978792,Starter
Bun,24457783,Starter
Calca,17495419,Starter
Obi,17027710,Starter
bear,18032998,Starter
cloud,21654197,Starter
FnDuke,17272524,Starter
BiNganHoa,19281938,Starter
Pacul,10043802,Substitute
Shroud,6718399,Substitute
thegoathimself,7410312,Substitute
sungod,12149908,Substitute
Lukes,13747196,Substitute
Gouverneur,15403387,Substitute
KaiLey,14678233,Substitute
Cain,13460222,Substitute
BBQSGE,20402031,Substitute
LOLI,17033350,Substitute
