Rank,Name,Individual Points,Fortress,Kills,Damage,Healing,Participated
1,ᵃⁿᵍFluffy,134284,3667,492,6787137,1500,Yes
2,ᵃⁿᵍSuntzu,94618,3685,3,5880639,0,Yes
3,ᵃⁿᵍBun,31733,3782,2161,1275989,0,Yes
4,ᵃⁿᵍGiaHuy,28342,3667,2557,1211853,0,Yes
5,ᵃⁿᵍFunny,23518,3667,1952,1050262,0,Yes
6,Ronka,17968,3677,477,706500,0,Yes
7,FATIH II,16919,3667,693,718244,0,Yes
8,ᵃⁿᵍcasper,15640,3752,1234,562600,0,Yes
9,ᵃⁿᵍcloud,15296,3667,906,543648,0,Yes
10,ᵃⁿᵍObi,12855,3667,1826,728257,0,Yes
11,Fluffy Jester,12553,3752,300,480694,0,Yes
12,ᴿᵁSkyLord,11870,3752,2234,365651,0,Yes
13,unlimit,10380,3792,27,366899,0,Yes
14,ᵃⁿᵍFnDuke,10143,3675,0,400454,0,Yes
15,ᵃⁿᵍLunar,9555,3782,225,304619,0,Yes
16,Queen of Chaos,9048,3667,1771,202901,0,Yes
17,ᵃⁿᵍCain,8440,3742,0,310858,0,Yes
18,ᵃⁿᵍVael,8082,3677,801,208437,0,Yes
19,Fluffy Queen,8040,3742,366,219176,0,Yes
20,ᵃⁿᵍNolie,7890,3675,2050,127432,0,Yes
21,ᵃⁿᵍZdrawe,7320,3792,0,210880,0,Yes
22,AV✖Sirelli,6967,3667,1033,107425,0,Yes
23,ᵃⁿᵍShroud,6506,3707,349,138318,0,Yes
24,ᵃⁿᵍJo,5636,3675,0,124116,0,Yes
25,ᵃⁿᵍLukes,0,0,0,0,0,No
26,KouSmiNaS,0,0,0,0,0,No
27,ᵃⁿᵍXtelli,0,0,0,0,0,No
28,ᵃⁿᵍCalca,0,0,0,0,0,No
29,ᵃⁿᵍClayFM,0,0,0,0,0,No
30,ᵃⁿᵍbear,0,0,0,0,0,No
31,ᵃⁿᵍAkka,0,0,0,0,0,No
32,ᵃⁿᵍwinkvk,0,0,0,0,0,No
33,ᵃⁿᵍFRODO,0,0,0,0,0,No
34,ᵃⁿᵍsungod,0,0,0,0,0,No
35,ⁿleander112,0,0,0,0,0,No
36,ᴿᵁDark,0,0,0,0,0,No
37,ˢᴸGouverneur,0,0,0,0,0,No
38,ᵃⁿᵍBBQSGE,0,0,0,0,0,No
39,MULYONO 11rb T,0,0,0,0,0,No
40,Aminvn22,0,0,0,0,0,No
