Username,Character ID,Power,Alliance,Alliance Rank
ᵃⁿᵍChriss33,210386613.0,24626046,23A,R4
ᴬ Tobin6969,210354476.0,19242161,23A,R4
ᴬ KsSasha,210323383.0,16645584,23A,R4
Le Houtro,,2708690,23A,R4
LittleShibaa,,1613378,23A,R4
☡ ᴬ GABBRO ☡,210294416.0,8248937,23A,R5
ᵃⁿᵍSuntzu,210397851.0,72388991,ANG,R4
ᵃⁿᵍAres,210002710.0,56321584,ANG,R4
ᵃⁿᵍFunny,210742295.0,26453127,ANG,R4
ᵃⁿᵍBBQSGE,210400254.0,23977966,ANG,R4
ᵃⁿᵍVael,209605052.0,22807940,ANG,R4
Fluffy Queen,209848954.0,22192743,ANG,R4
ᵃⁿᵍCain,210423049.0,17893286,ANG,R4
Illegal  Zero,210387545.0,85932355,ANG,R5
ᵃⁿᵍDanjc,210391920.0,15101806,ENG,R4
Makym,210302298.0,9307997,ENG,R4
BeGod,210398945.0,8928868,ENG,R4
CPASA09,,6388710,ENG,R4
Rei Capão,210348608.0,6068912,ENG,R4
Fluffys Lover2,,1670177,ENG,R4
Larsius IV,210382546.0,12277527,ENG,R5
ᵏᵏJanima,210395504.0,22150963,KNG,R4
乂Chaos Knight,210523172.0,22138016,KNG,R4
Classic071,210400735.0,18582732,KNG,R4
Donjon 3917,209854059.0,18046627,KNG,R4
ᴮᴿGOLIAS,210512736.0,16380280,KNG,R4
ᵏSurpriseBox,,15410950,KNG,R4
Fĭghter,209880761.0,13427595,KNG,R4
乂Ŝ AINTジ,210198531.0,60735201,KNG,R5
KÒkÒWarMedusa,210237494.0,105328300,MNG,R4
KÒkÒDaddyLizz,209664900.0,39917902,MNG,R4
SirFaust xÒ,209759877.0,27611237,MNG,R4
ккТôm Lazy,209749530.0,25596677,MNG,R4
Shiba xÒ 23,209749783.0,20060704,MNG,R4
Cleo xÒ 23,209750614.0,14676837,MNG,R4
King Mithra,209673553.0,18667070,MNG,R5
ᴿᵁSkyLord,209636800.0,18022159,SNG,R4
Isko 123,210331194.0,15759917,SNG,R4
SkyNemor,210326713.0,13716797,SNG,R4
Dungeon ruler,210368121.0,12362839,SNG,R4
natalya777,210347793.0,11538294,SNG,R4
Данська jr,210313135.0,7215737,SNG,R4
Vaelwyn,210112027.0,5409104,SNG,R4
СлаваSlava,210342539.0,13455818,SNG,R5
