Name,Power,Rank
MadFluffy,45542,R5
Fluffy,75493512,R4
Sysstem,74637029,R4
Suntzu,65251113,R4
Funny,23571199,R4
Fluffy Queen,20826857,R4
BBQSGE,20710260,R4
Vael,20264518,R4
Cain,14217020,R4
NECO,18211788,R3
Draken,17737115,R3
Sadgame,17648674,R3
Obi,17385409,R3
Sonk8,17186926,R3
STALINGGARD,17178072,R3
Armstrong jr XL,16996099,R3
Soutz,15026469,R3
Alcar,14790528,R3
CHEZEE,14561826,R3
Queen of Chaos,14389749,R3
Nev✖,13782071,R3
TRAP,13139832,R3
Milos,13051515,R3
BryanV,12139250,R3
Nolie,11668891,R3
Jo,10177081,R3
Dante,9776607,R3
Alak D,9675907,R3
Sunman,9269136,R3
Shroud,7437277,R3
winkvk,17459877,R2
Furiaaa,16699520,R2
hungvv,16182445,R2
Mixuee,14806419,R2
bones,13895940,R2
ShadowLunar,13169393,R2
Bakr,12904224,R2
sóc,12893804,R2
Dark,12398059,R2
leander112,11584639,R2
SAMXINH,9151480,R2
Wallerun I,8894238,R2
ALONE,8862081,R2
BbyVix,30103982,R1
Bun,25106299,R1
cloud,22155937,R1
Raijin,21196533,R1
Dooffy,20912310,R1
Calca,20450029,R1
GiaHuy,20293965,R1
BiNganHoa,19828939,R1
bear,18637334,R1
FnDuke,17468896,R1
LOLI,17296079,R1
TURAN80g,17004672,R1
BáOo,16870861,R1
shorty,16630866,R1
unlimit,16580234,R1
Fluffy Jester,16396360,R1
FRODO,16238359,R1
Panh,15974309,R1
Gouverneur,15811279,R1
ClayFM,15628893,R1
Fluffy Lover,15475032,R1
KaiLey,14798819,R1
GLordMai,14770326,R1
ANH TUAN 1,14587926,R1
Gund,14543481,R1
Zdrawe,14531409,R1
orzrzi,14454405,R1
Zaebali,14447979,R1
KomVD2,14398520,R1
vn kenji,14052895,R1
Lukes,14000961,R1
lady,13754606,R1
Hoangg,13734175,R1
SsOren,13702821,R1
Notor,13552629,R1
TGL,13436270,R1
Dela Steven,13294230,R1
Bụng báo,13289673,R1
Bryan,13113881,R1
lml Keter lml,13061962,R1
Đảo 93,12864789,R1
Escipion,12769997,R1
Stultitia,12623413,R1
세계평화,12619488,R1
sungod,12549222,R1
GiuliaFC,12532847,R1
Rudues,12434375,R1
gladiador 28,12396998,R1
sir Yuckfou,12379223,R1
Xtelli,12371786,R1
bySel,12326034,R1
XMihawkX,12291951,R1
CBC,12032596,R1
Nhi,11947820,R1
EF SàuVôLệ,11633692,R1
モニタリング,11519437,R1
GHOST,11125084,R1
suet,11068822,R1
Ронка,10874117,R1
Cowl,10660784,R1
CAPITAN,10505883,R1
Akka,10186221,R1
yigitl,10169566,R1
reeeldid,9989462,R1
Batussai,9971731,R1
ADOLF SAMI,9844125,R1
ksa 511,9715445,R1
KapiBara,9416431,R1
AcDeputatovaDi,9060115,R1
KouSmiNaS,9007787,R1
God chosen one,8438318,R1
AV✖Sirelli,7966926,R1
STEPHENлж,7915801,R1
Kether1,7594411,R1
thegoathimself,7514568,R1
HoangRed,7396087,R1
casper,13271650,R1
Aminvn22,9904575,R1
SkyLord,14730567,R1
DonV4,0,R1
MayorEric,0,R1
Divid3,0,R1
WOLF,0,R1
Ceje,0,R1
SSRB,0,R1
ZETMA,0,R1
Black Ruler,0,R1
