# Canonical commander list for the /apply picker.
# Format: Name | Spec1 | Spec2 | Spec3 | Rarity
# Rarity ∈ {Legendary, Epic, Elite, Advanced}. Empty lines and lines starting
# with '#' are ignored.
Alexander the Great | Infantry | Versatility | Attack | Legendary
Cao Cao | Cavalry | Peacekeeping | Mobility | Legendary
Charlemagne | Leadership | Conquering | Skill | Legendary
Cleopatra | Integration | Gathering | Support | Legendary
Edward of Woodstock | Archer | Versatility | Skill | Legendary
El Cid | Archer | Versatility | Skill | Legendary
Artemisia | Archer | Garrison | Defense | Legendary
Frederick I | Leadership | Conquering | Skill | Legendary
Richard I | Infantry | Garrison | Defense | Legendary
Aethelflaed | Leadership | Peacekeeping | Support | Legendary
Mulan | Integration | Peacekeeping | Support | Legendary
Emperor Leonidas | Infantry | Versatility | Defense | Legendary
Charles Martel | Infantry | Garrison | Defense | Legendary
Guan Yu | Infantry | Conquering | Skill | Legendary
Attila | Cavalry | Conquering | Attack | Legendary
Chandragupta | Cavalry | Conquering | Skill | Legendary
Hannibal Barca | Leadership | Conquering | Defense | Legendary
Constantine | Infantry | Garrison | Support | Legendary
William I | Cavalry | Versatility | Attack | Legendary
Takeda Shingen | Cavalry | Versatility | Mobility | Legendary
Harald Sigurdsson | Infantry | Conquering | Skill | Legendary
Lu Bu | Leadership | Conquering | Skill | Legendary
Theodora | Leadership | Garrison | Defense | Legendary
Genghis Khan | Cavalry | Versatility | Skill | Legendary
Ishida Mitsunari | Integration | Gathering | Support | Legendary
Minamoto no Yoshitsune | Cavalry | Peacekeeping | Skill | Legendary
Julius Caesar | Leadership | Siege | Attack | Legendary
Mehmed II | Leadership | Conquering | Skill | Legendary
Ramesses II | Archer | Versatility | Attack | Legendary
Saladin | Cavalry | Conquering | Support | Legendary
Seondeok | Integration | Gathering | Attack | Legendary
Tomyris | Archer | Conquering | Attack | Legendary
Wu Zetian | Leadership | Garrison | Support | Legendary
Yi Seong Gye | Archer | Garrison | Garrison | Legendary
Yi Sun-Sin | Leadership | Garrison | Defense | Legendary
Zenobia | Infantry | Garrison | Support | Legendary
Lapu Lapu | Leadership | Garrison | Skill | Legendary
Gonzalo de Cordoba | Engineering | Versatility | Attack | Legendary
Gajah Mada | Engineering | Versatility | Defense | Legendary
Ashurbanipal | Archer | Conquering | Skill | Legendary
Hermann Prime | Archer | Versatility | Support | Legendary
Justinian I | Cavalry | Conquering | Support | Legendary
Gorgo | Infantry | Garrison | Defense | Legendary
Pericles | Infantry | Garrison | Support | Epic
Dido | Archer | Versatility | Skill | Legendary
Huo Qubing | Cavalry | Versatility | Skill | Legendary
Pyrrhus | Infantry | Versatility | Defense | Legendary
Margaret I | Engineering | Versatility | Support | Legendary
Heraclius | Leadership | Garrison | Defense | Legendary
Zhuge Liang | Archer | Skill | Versatility | Legendary
Babur | Engineering | Versatility | Attack | Legendary
Joan of Arc Prime | Cavalry | Versatility | Support | Legendary
Jan Zizka | Cavalry | Garrison | Skill | Legendary
Sargon the Great | Infantry | Skill | Versatility | Legendary
Tariq ibn Ziyad | Infantry | Conquering | Defense | Legendary
Boudica Prime | Archer | Versatility | Skill | Legendary
Henry V | Archer | Conquering | Support | Legendary
Thutmose III | Archer | Versatility | Support | Legendary
Flavius Aetius | Infantry | Garrison | Skill | Legendary
Baibars | Cavalry | Conquering | Skill | Epic
Belisarius | Cavalry | Peacekeeping | Mobility | Epic
Boudica | Integration | Peacekeeping | Skill | Epic
Diaochan | Integration | Peacekeeping | Support | Epic
Hermann | Archer | Garrison | Skill | Epic
Joan of Arc | Integration | Gathering | Support | Epic
Keira | Archer | Peacekeeping | Skill | Epic
Kusunoki Masashige | Archer | Garrison | Skill | Epic
Lohar | Integration | Peacekeeping | Support | Epic
Matilda of Flanders | Integration | Gathering | Defense | Epic
Osman I | Leadership | Conquering | Skill | Epic
Pelagius | Cavalry | Garrison | Skill | Epic
Scipio Africanus | Leadership | Conquering | Attack | Epic
Sun Tzu | Infantry | Garrison | Skill | Epic
Imhotep | Archer | Garrison | Support | Epic
Bjorn Ironside | Infantry | Conquering | Skill | Epic
Eulji Mundeok | Infantry | Garrison | Attack | Epic
Šárka | Integration | Gathering | Skill | Elite
Lancelot | Cavalry | Versatility | Mobility | Elite
Tomoe Gozen | Archer | Versatility | Attack | Elite
Gaius Marius | Leadership | Gathering | Skill | Elite
Constance | Integration | Gathering | Skill | Elite
Markswoman | Archer | Peacekeeping | Skill | Elite
Dragon Lancer | Cavalry | Peacekeeping | Skill | Elite
City Keeper | Infantry | Versatility | Attack | Elite
Centurion | Integration | Gathering | Attack | Elite
Xiang Yu | Cavalry | Conquering | Skill | Legendary
Nebuchadnezzar II | Archer | Conquering | Skill | Legendary
Gilgamesh | Archer | Conquering | Skill | Legendary
Pakal II | Infantry | Conquering | Defense | Legendary
Cyrus the Great | Archer | Versatility | Attack | Legendary
Trajan | Infantry | Gathering | Attack | Legendary
Cheok Jun-Gyeong | Infantry | Versatility | Attack | Legendary
Honda Tadakatsu | Leadership | Versatility | Skill | Legendary
Bertrand du Guesclin | Cavalry | Conquering | Defense | Legendary
Alexander Nevsky | Cavalry | Versatility | Skill | Legendary
Suleiman I | Leadership | Conquering | Attack | Legendary
Ragnar Lodbrok | Leadership | Conquering | Attack | Legendary
Jadwiga | Cavalry | Garrison | Mobility | Legendary
Choe Yeong | Archer | Garrison | Defense | Legendary
Shajar al-Durr | Archer | Versatility | Skill | Legendary
Belisarius Prime | Cavalry | Versatility | Mobility | Legendary
Eleanor of Aquitaine | Cavalry | Garrison | Defense | Legendary
William Wallace | Infantry | Versatility | Smite | Legendary
Scipio Aemilianus | Infantry | Conquering | Smite | Legendary
Catherine de' Medici | Engineering | Versatility | Skill | Epic
Narses | Engineering | Versatility | Defense | Epic
John Hunyadi | Engineering | Versatility | Support | Legendary
Stephen III | Engineering | Versatility | Skill | Legendary
Ragnar Lodbrok Prime | Leadership | Versatility | Support | Legendary
Philip II | Leadership | Versatility | Support | Legendary
Wak Chanil Ajaw | Integration | Gathering | Defense | Epic
Siyaj K'ak' | Archer | Conquering | Skill | Legendary
Subutai | Cavalry | Conquering | Combo | Legendary
Shapur | Archer | Conquering | Skill | Legendary
Qin Shi Huang | Archer | Versatility | Skill | Legendary
Tokugawa Ieyasu | Infantry | Garrison | Smite | Legendary
Bai Qi | Infantry | Versatility | Smite | Legendary
Afonso | Engineering | Versatility | Support | Legendary
Matthias | Leadership | Garrison | Attack | Legendary
Mary | Engineering | Versatility | Skill | Legendary
Archimedes | Engineering | Versatility | Defense | Legendary
Casimir | Integration | Gathering | Defense | Legendary
Pepin | Integration | Gathering | Support | Legendary
Sun Tzu Prime | Infantry | Versatility | Smite | Legendary
Ivar the Boneless | Infantry | Conquering | Defense | Legendary
Gang Gamchan | Cavalry | Versatility | Combo | Legendary
Hector | Leadership | Versatility | Support | Legendary
Achilles | Cavalry | Versatility | Combo | Legendary
Elizabeth I | Engineering | Versatility | Skill | Legendary
Vercingetorix | Leadership | Versatility | Support | Legendary
Hayam Wuruk | Archer | Garrison | Skill | Legendary
